inspection_no,date,status,description,url,num_violations
1912893,2007-06-13,PARTIAL PASSED,CONSTRUCTION EQUIPMENT PERMIT,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1912893,0
1882042,2007-05-25,PARTIAL PASSED,CONSTRUCTION EQUIPMENT PERMIT,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1882042,0
1621186,2007-05-16,PARTIAL PASSED,PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1621186,0
1613899,2007-05-10,PARTIAL PASSED,DOB PLUMBING INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613899,0
1881043,2007-04-20,PARTIAL PASSED,CONSTRUCTION EQUIPMENT PERMIT,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1881043,0
1613909,2007-04-06,PARTIAL PASSED,DOB NEW CONSTRUCTION INSP,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613909,0
1652466,2007-04-06,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1652466,0
1749666,2007-03-08,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1749666,0
1664779,2007-02-13,PARTIAL PASSED,BLDG_PERM IRON PERMIT INSP,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1664779,0
1664784,2007-02-13,PARTIAL PASSED,BLDG_PERM IRON PERMIT INSP,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1664784,0
1613903,2007-02-07,PARTIAL PASSED,CONSTRUCTION EQUIPMENT PERMIT,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613903,0
1613910,2007-02-05,PARTIAL PASSED,CONSTRUCTION EQUIPMENT PERMIT,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613910,0
1613905,2006-12-21,PARTIAL PASSED,BLDG_PERM IRON PERMIT INSP,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613905,0
1613898,2006-12-21,PARTIAL PASSED,BLDG_PERM IRON PERMIT INSP,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613898,0
1113224,2006-12-13,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1113224,0
1340193,2006-08-25,PASSED,REFRIGERATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1340193,0
1332657,2006-06-20,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1332657,0
1396179,2006-06-01,PASSED,VENT ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1396179,0
1242229,2006-03-10,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1242229,0
1064281,2005-07-14,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1064281,0
833206,2005-06-29,PASSED,REFRIGERATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=833206,0
965745,2005-06-25,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=965745,0
916641,2005-06-17,PASSED,CONSERVATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=916641,0
951019,2005-03-21,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=951019,0
779987,2004-07-08,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=779987,0
745379,2004-07-08,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=745379,0
734609,2004-06-07,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=734609,0
577179,2004-02-20,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=577179,0
495435,2003-07-07,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=495435,0
465051,2003-06-25,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=465051,0
251124,2003-06-25,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=251124,0
417334,2003-05-30,PASSED,SIGN ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=417334,0
458503,2003-03-05,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=458503,2
440211,2003-02-10,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=440211,0
707841,2002-10-02,CLOSED,SIGN ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=707841,0
200272,2002-10-02,PASSED,SIGN ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=200272,0
251273,2002-07-11,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=251273,0
245364,2002-07-10,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=245364,0
175477,2002-02-16,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=175477,0
9639744,2001-12-22,CLOSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=9639744,1
130127,2001-08-20,CLOSED,FIRE PREVENTION PUMPS LEGACY,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130127,0
25836,2001-07-09,PASSED,SIGN ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=25836,0
130126,1997-05-09,CLOSED,FIRE PREVENTION PUMPS LEGACY,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130126,0
9475223,1997-01-28,CLOSED,ELEVATOR LEGACY INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=9475223,0
9457580,1997-01-21,CLOSED,ELEVATOR LEGACY INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=9457580,0
130125,1996-03-21,CLOSED,FIRE PREVENTION PUMPS LEGACY,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,0
